index,id,genres
283,tm131038,"['crime', 'drama', 'history', 'action', 'european']"
284,ts2230,['reality']
285,tm154187,"['crime', 'action', 'thriller']"
286,tm133767,"['drama', 'comedy', 'romance']"
287,tm88738,"['drama', 'romance']"
288,ts17942,"['comedy', 'music']"
289,tm148270,"['romance', 'drama', 'comedy']"
290,tm93055,"['comedy', 'drama', 'european']"
291,tm133374,"['drama', 'sport']"
292,tm26897,"['thriller', 'action']"
293,tm109304,"['horror', 'european']"
294,ts22267,"['comedy', 'crime']"
295,tm76066,['drama']
296,tm90190,"['western', 'drama']"
297,tm997728,"['action', 'thriller', 'scifi']"
298,tm29737,"['thriller', 'action', 'war', 'european']"
299,tm84906,"['fantasy', 'romance', 'family']"
300,ts6644,"['drama', 'european']"
301,tm142086,"['drama', 'history', 'war', 'action']"
302,ts22018,"['comedy', 'family', 'romance']"
303,ts30311,"['comedy', 'drama', 'family', 'music', 'romance', 'sport']"
304,tm95252,"['thriller', 'action', 'drama', 'european']"
305,tm136808,['thriller']
306,ts21197,"['action', 'scifi', 'drama', 'fantasy', 'european']"
307,tm195620,"['drama', 'war', 'thriller', 'horror']"
308,tm109137,"['fantasy', 'comedy', 'family', 'romance', 'animation']"
309,tm84613,"['comedy', 'drama', 'romance']"
310,tm173551,"['fantasy', 'romance', 'animation', 'drama', 'family']"
311,tm94606,"['horror', 'drama', 'fantasy', 'thriller', 'european']"
312,tm136308,"['crime', 'drama', 'thriller', 'european']"
313,tm82985,"['thriller', 'comedy']"
314,tm145593,"['drama', 'action', 'crime', 'thriller']"
315,tm150260,"['animation', 'drama', 'romance', 'comedy', 'family', 'fantasy', 'scifi']"
316,ts30313,"['drama', 'comedy']"
317,tm119111,"['thriller', 'fantasy', 'scifi', 'action', 'horror']"
318,tm130647,"['thriller', 'drama', 'romance', 'european']"
319,tm32919,"['thriller', 'drama']"
320,tm23935,"['drama', 'fantasy', 'romance', 'documentation']"
321,tm137143,"['thriller', 'scifi', 'action', 'european']"
322,tm28905,['comedy']
323,tm44486,"['thriller', 'drama', 'action', 'crime', 'european']"
324,tm39487,"['romance', 'comedy', 'drama']"
325,tm169949,"['drama', 'romance', 'fantasy', 'comedy']"
326,ts35155,"['scifi', 'action', 'comedy', 'drama', 'animation']"
327,tm184913,"['crime', 'action', 'drama', 'thriller']"
328,tm118637,"['drama', 'thriller', 'crime']"
329,tm58382,['comedy']
330,tm40009,"['drama', 'crime', 'history', 'thriller']"
331,ts12787,"['scifi', 'animation', 'action', 'drama', 'thriller', 'war']"
332,tm154470,"['thriller', 'scifi', 'fantasy', 'war', 'action']"
333,tm22294,"['comedy', 'family']"
334,tm78067,"['thriller', 'drama', 'crime', 'horror']"
335,tm148379,"['fantasy', 'comedy', 'family']"
336,tm76428,"['documentation', 'comedy']"
337,tm21467,"['horror', 'thriller', 'action', 'crime', 'fantasy', 'european']"
338,tm46436,"['thriller', 'horror', 'fantasy']"
339,tm57190,"['scifi', 'thriller', 'action']"
340,tm37546,"['comedy', 'fantasy', 'animation', 'family', 'music', 'romance']"
341,tm30205,"['drama', 'fantasy', 'action', 'history']"
342,tm159310,"['drama', 'sport', 'european']"
343,tm89592,"['action', 'thriller', 'fantasy', 'horror', 'scifi']"
344,tm167516,"['romance', 'comedy']"
345,tm79895,['horror']
346,tm88045,"['drama', 'comedy', 'romance']"
347,tm111600,"['comedy', 'romance']"
348,tm143938,"['horror', 'fantasy', 'scifi', 'action', 'thriller']"
349,tm31187,"['romance', 'drama', 'history']"
350,tm141390,"['horror', 'thriller']"
351,tm74780,"['drama', 'comedy', 'european']"
352,tm150214,"['horror', 'action']"
353,ts21544,"['action', 'comedy', 'drama', 'family', 'scifi', 'animation']"
354,tm176528,"['drama', 'romance', 'european']"
355,tm102337,"['horror', 'thriller', 'crime', 'drama']"
356,tm36188,"['drama', 'action', 'thriller']"
357,tm88382,"['romance', 'comedy', 'family']"
358,ts31263,['reality']
359,tm47523,"['animation', 'action', 'comedy', 'crime', 'family', 'fantasy', 'scifi']"
360,tm24088,"['comedy', 'horror']"
361,tm137362,"['horror', 'crime']"
362,tm177068,"['comedy', 'crime']"
363,tm82442,"['animation', 'comedy', 'family', 'fantasy', 'scifi', 'action']"
364,tm90864,"['drama', 'comedy']"
365,tm101249,"['comedy', 'thriller', 'action', 'crime']"
366,ts687,"['scifi', 'thriller', 'drama']"
367,ts24028,"['comedy', 'european']"
368,tm142564,"['comedy', 'drama']"
369,ts23752,"['drama', 'comedy']"
370,ts21706,"['drama', 'scifi', 'fantasy', 'family']"
371,ts21740,"['scifi', 'fantasy', 'animation', 'comedy', 'drama', 'thriller', 'crime', 'horror', 'action']"
372,ts30356,"['action', 'animation', 'comedy', 'family']"
373,tm89684,"['comedy', 'crime', 'family', 'romance']"
374,ts31514,"['animation', 'family']"
375,ts22005,"['action', 'reality', 'animation', 'family', 'comedy', 'drama']"
376,tm183963,"['drama', 'family', 'sport', 'fantasy']"
377,tm27268,"['fantasy', 'animation', 'comedy', 'family']"
378,tm81270,"['comedy', 'crime']"
379,tm137342,"['drama', 'thriller', 'war', 'action']"
380,ts21688,"['comedy', 'drama', 'romance']"
381,ts22318,"['action', 'comedy', 'family', 'fantasy', 'animation', 'thriller', 'european']"
382,tm161263,"['horror', 'thriller', 'scifi', 'action', 'european']"
383,ts12815,"['comedy', 'family']"
384,tm26638,"['horror', 'thriller', 'documentation']"
385,tm55303,['drama']
386,tm31189,"['fantasy', 'thriller', 'action', 'drama', 'family']"
387,tm165593,"['comedy', 'drama', 'romance']"
388,ts15986,"['scifi', 'thriller', 'comedy', 'drama', 'horror', 'european']"
389,ts26322,"['animation', 'romance', 'comedy', 'drama']"
390,tm78767,"['comedy', 'romance']"
391,ts98340,['western']
392,tm36644,"['thriller', 'history', 'drama']"
393,tm77649,"['thriller', 'drama', 'fantasy']"
394,ts33559,"['animation', 'comedy', 'family', 'european']"
395,tm33113,"['thriller', 'action', 'european']"
396,tm78189,"['thriller', 'european']"
397,tm43399,"['drama', 'romance', 'sport']"
398,tm147211,"['comedy', 'war']"
399,ts56549,"['comedy', 'horror', 'reality', 'scifi', 'thriller']"
400,tm29555,"['romance', 'comedy', 'drama']"
401,tm93225,"['fantasy', 'family', 'action', 'war', 'drama', 'thriller', 'animation']"
402,ts20398,['comedy']
403,tm86189,"['comedy', 'romance']"
404,ts21421,"['animation', 'family', 'comedy', 'european']"
405,tm104880,['comedy']
406,tm101334,['comedy']
407,tm135451,['drama']
408,ts20526,"['comedy', 'drama', 'sport', 'romance']"
409,tm186461,"['music', 'documentation']"
410,ts30083,"['scifi', 'action', 'comedy', 'drama', 'fantasy', 'animation']"
411,tm141707,"['thriller', 'action', 'crime', 'drama', 'sport']"
412,tm103095,"['drama', 'history', 'sport', 'action']"
413,ts23835,"['comedy', 'family', 'action', 'animation']"
414,tm83786,"['drama', 'family']"
415,ts23808,"['comedy', 'documentation']"
416,ts27459,"['action', 'drama']"
417,ts20544,"['comedy', 'drama', 'animation', 'romance']"
418,tm27168,"['crime', 'thriller', 'drama', 'action']"
419,ts40702,['drama']
420,ts30288,"['action', 'drama', 'scifi', 'war', 'animation']"
421,tm114476,"['comedy', 'fantasy', 'animation', 'family']"
